Nome	Instagram	Faixa	Grau	Equipe	Idade	Peso	Altura
Brunno Araruna	ararunabjj	MARROM	2°	Delariva	0	130	0
Camilo Borges		PRETA	1°	CT GRU TEAM			
Daniel Marchezini		ROXA	0°	Bollacha Wrestling			
Davi Lima		PRETA	1°				
Davi Vidal		MARROM	1°				
Eder Duarte		PRETA	1°				
Edvaldo de Oliveira	centro_cultural_de_lutas	PRETA	1°	Marivan Winners BJJ			
Eliseu Sousa		PRETA	1°	Delariva			
Evandro Codato	teamcodato	PRETA	1°	Team Codato - Lotus Club			
Felipe Andrade		PRETA	1°				
Fernando Barbara		PRETA	1°	Latrell Brasileiro Escola de Lutas			
Flavio Fernando (Cabrunco)	flaviofernando5815	PRETA	1°	Marivan			
Grasielly Amabelly		BRANCA	1°				
Jhon Wesley		AZUL	1°	Matsumoto			
Kiyoshi		AZUL	1°	Matsumoto			
Lúcio Bart		PRETA	3°	Yatta			
Luiz Fernando		ROXA	1°				
Luiz Henrique	luizcassianobjj	PRETA	1°	NS Brotherhood	0	84	0
Marcelo Marrom	marcelo.marrombjj	ROXA	1°	Delariva			
Marcos Everaldo		MARROM	1°	Lotus Club			
Miguel Jr		AZUL	1°				
Murilo de Oliveira		PRETA	1°	Marivan Winners BJJ			
Rayssa Da Silva		BRANCA	1°				
Roan Kudo		PRETA	1°	Yatta			
Roberto Matsumoto		PRETA	1°	Delariva			
Rodolfo Barcellos		PRETA	1°				
Rodrigo Nascimento	artejiujitsurod	PRETA	2°	NS Brotherhood			
Rogério		PRETA	1°	Ryan Gracie			
Victor Oliveira		ROXA	1°				
Wilian Garcia	williamcbgarciabjj	MARROM	1°	Yatta
